# 20MM 9 CAL ANSR -- tabela de saída do SPIN-73 (Whyte 1973), p. 38 (JP2 0041).
# Página nítida; cabeçalho inteiro legível.
#
# entrada: VL=9.000 VN=2.000 VB=0.000 VCG=5.050 DM=0.000 BD=1.000 OR=8.000 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
#
# identidade: CMA 0.01 6.?n3 -> 6.603 | (5.050-2.366)*2.460 = 6.6026 (lido 6.5n3: par 5/6)
# identidade: CNPA5P 0.01 -171?.333 -> -1718.333 | 10*(3,75 - 175.583)
# identidade: CNPA5P 0.6 -171?.333 -> -1718.333 | idem
#
# duvidosa: CX2 0.9 4.40? | último dígito apagado
# duvidosa: CMA 0.8 6.7?2 | apagado (a identidade dá 6.7307: não decide)
# duvidosa: CMA 0.95 7.3?0 | lido 7.330; a identidade com CPN 2.179 dá 7.335
# duvidosa: CPN 0.01 2.36? | 5 ou 6
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,0.242,3.445,2.460,6.603,,-1.440,-0.900,175.583,-1718.333,4.425,5.525,0.684,-71.175,-0.059
0.6,0.242,3.445,2.460,6.628,2.356,-1.440,-0.900,175.583,-1718.333,4.425,5.525,0.684,-71.175,-0.059
0.8,0.244,3.935,2.480,,2.336,-1.440,-0.612,159.583,-1558.333,4.625,5.625,0.828,-71.175,-0.057
0.9,0.282,,2.525,7.110,2.234,-1.620,-0.041,116.583,-1128.333,5.025,5.675,1.012,-74.409,-0.048
0.95,0.341,4.882,2.555,,2.179,-2.070,0.569,91.583,-878.333,5.325,5.725,1.397,-76.706,-0.041
1.0,0.438,5.635,2.585,7.537,2.135,-1.890,0.709,62.583,-588.333,5.425,5.725,1.276,-80.734,-0.039
1.05,0.486,6.411,2.594,7.766,2.056,-1.710,0.812,37.583,-338.333,5.525,5.725,1.154,-80.487,-0.039
1.1,0.482,7.173,2.617,7.913,2.027,-1.620,0.850,26.583,-228.333,5.575,5.725,1.093,-85.099,-0.039
1.2,0.474,8.166,2.684,8.160,2.010,-1.440,0.799,18.783,-150.333,5.605,5.725,0.972,-90.441,-0.038
1.35,0.457,7.566,2.784,8.475,2.006,-1.440,0.828,15.583,-118.333,5.625,5.725,0.972,-100.139,-0.038
1.5,0.440,6.946,2.904,8.801,2.020,-1.440,1.274,13.983,-102.333,5.935,6.025,1.404,-114.066,-0.038
1.75,0.414,6.336,3.014,9.170,2.008,-1.440,1.721,12.383,-86.333,6.245,6.325,1.836,-120.066,-0.037
2.0,0.391,5.715,3.135,9.522,2.012,-1.440,2.167,10.783,-70.333,6.555,6.625,2.268,-126.066,-0.036
2.5,0.351,5.055,3.275,10.140,1.954,-1.440,2.182,9.183,-54.333,6.565,6.625,2.268,-132.066,-0.034
3.0,0.318,4.279,3.266,10.508,1.833,-1.440,2.066,7.583,-38.333,6.485,6.535,2.138,-132.066,-0.033
4.0,0.280,3.594,3.166,10.281,1.803,-1.440,1.980,7.583,-38.333,6.425,6.475,2.052,-126.066,-0.032
5.0,0.258,2.909,3.066,10.048,1.773,-1.440,1.764,7.583,-38.333,6.275,6.325,1.836,-117.066,-0.031
